1,Mr. , Mr.
2,Mrs. , Mrs.
3,Miss , Miss
4,Dr. , Dr.
5,Hon.,Honorable
6,Prof.,Professor
7,Rev.,Reverend
8,Pvt , Pvt. (Army Private)
9,Pv2 , Pv2 (Army Private 2)
10,PFC , PFC (Army Private 1 Class)
11,Spc. , Spc.(ArmySpecialist)
12,Cpl. , Cpl.(Army Corporal)
13,Sgt. , Sgt.(Army Sereant)
14,SSg. , Ssg.(Army Staff Sgt.)
15,Sfc. , Sfc.(Army Sgt. 1st Class)
16,Msg. , Msg.(Army Master Sgt.)
17,1Sg. , 1Sg. (Army 1st Sgt.)
18,Sgm. , Sgm. (AF Sgt. Maj.)
19,CSM. , CSM. (AF Cmd. Sgt Maj.)
20,SMA. , SMA. (AFSgt.Maj OTA)
21,WO1 , WO1 (Army Warrant Ofc.)
22,CW2 , CW2 (Army Chief Warrant Ofc. 2)
23,CW3 , CW3 (Army Chief Warrant Ofc. 3)
24,CW4 , CW4 (Army Chief Warrant Ofc. 4)
25,CW5 , CW5 (Army Chief Warrant Ofc. 5)
26,2LT , 2LT (Army 2nd Lieutenant)
27,1LT , 1LT (Army 1st Lieutenant)
28,Cpt. , Cpt. (AF Captian)
29,Maj. , Maj. (AF Major)
30,LTC , LTC. (AF Lt. Colonel)
31,Col. , Col. (AF Colonel)
32,BG. , BG. (Army Brigadier Gen. 1 Star)
33,MG. , MG. (Army Maj. Gen. 2 Star)
34,LTG. , LTG. (Army Lt. Gen. 3 Star)
35,Gen. , Gen. (AF General 4 Star)
36,SN. , SN. (Navy Seaman)
37,PO3 , PO3. (Navy Petty Ofc. 3rd)
38,PO2 , PO2. (Navy Petty Ofc. 2nd)
39,PO1. , PO1. (Navy Petty Ofc. 1st)
40,CPO. , CPO.(NavyChiefPetty Ofc.)
41,SCPO. , SCPO.(Navy Sr. Chief Petty Ofc.)
42,MCPO. , MCPO.(Navy Master Ch. Petty Ofc.)
43,MCPON. , MCPON.(Navy Mas. Ch. Petty OTN)
44,Ens. , Ens. (Navy Ensign)
45,LtJg. , LtJG. (Navy Lt. Jr. Grade)
46,Lt. , Lt. (Navy Lieutenant)
47,LCDR. , LCDR. (Navy Lt. Cmdr.)
48,CDR. , CDR. (Navy Commander)
49,Capt. , Capt. (Navy Captian)
50,RDML. , RDML. (Navy Rear Adm. Lower - 1 Star)
51,RADM. , RADM. (Navy Rear Adm. Upper - 2 Star)
52,VADM. , VADM. (Navy Vice Adm. - 3Star)
53,ADM. , ADM. (Navy Adm. Chief of Ops. - 4 Star)
54,Amn. , Amn. (AF Airman)
55,A1C. , A1C (AF Airman 1 CLass)
56,SrA. , SrA. (AF Sr. Airman)
57,SSgt. , SSgt.(AF AF StaffSgt.)
58,TSgt. , Tsgt.(AF Tech. Staff Sgt.)
59,MSgt. , MSgt.(AF Mas. Sgt)
60,SMSgt. , SMSgt.(AF Sr. Master Staff Sgt.)
61,CMSgt. , CMSgt.(AF Chief Master Sgt.)
62,CCM. , CCM.(AF Cmdr. Chief Master Sgt.)
63,CMSAF. , CMSAF. (AF Chief Master Sgt OTAF)
64,2d Lt , 2d Lt. (AF 2nd Lieutenant)
65,1st Lt , 1st Lt (AF 1st Lieutenant)
66,Brig. Gen. , Brig. Gen. (AF Brigadier Gen. 1 Star)
67,Maj. Gen. , Maj. Gen. (AF Maj. Gen. 2 Star)
68,Lt. Gen. , Lt. Gen. (AF Lt. Gen. 3 Star)
